Entities,Entity ID,Actual Entity
Cray Inc.,,
credibility test,,
crisis,,
criticism,,
CrowdStrike Inc.,,
curbs,,
customer emails,,
cyber security,,
Cyberattack,,
cyberattack protection,,
Cycle Computing,,
DACA,,
Daimler,,
Dakota,,
Dakota Access Pipeline,,
data,,
data center,,
data sharing,,
data transfers,,
data watchdog,,
database software,,
Dean Garfield,,
Denmark,,
Denmark Saxo Bank,,
Deutsche Bank,,
Digimarc Corporation,,
discrimination,,
disease,,
dividend,,
DNA analysis toolkit,,
DNAnexus Inc.,,
dollars,,
Dow,,
Dreamer,,
Dropbox,,
DXC Technology,,
Dynamics,,
earnings,,
Earnings assessment,,
earnings loss,,
earnings recession,,
earnings reports,,
Econocom Group SE,,
Economic Adviser,,
Economic Data,,
economy,,
economy interest rate,,
education market,,
Education Technology Market,,
election results,,
Electronics R&D.,,
Elliott Management Corporation,,
Elon Musk,,
email hack warning,,
Email Privacy Bill,,
emotion mirror,,
employee ratings,,
employees,,
employment claims,,
Employment Situation,,
energy stock loss,,
Energy stocks,,
equity fund,,
Equity Markets,,
Essity AB,,
Estonia,,
EU,,
exports,,
extremism,,
EY,,
Face Technology Ethical Principles,,
Facebook,,
faceoff,,
FCC,,
FDA,,
Fed Interest Rate,,
FED meeting,,
Federal Circuit,,
Federal Court,,
Fidelity Inc,,
fight,,
Financials stock gains,,
Finland,,
FINMA,,
FinTech talent,,
FireEye Inc.,,
firms,,
Fitch,,
Flipgrid,,
food retail,,
Ford,,
Foresite Capital LLC,,
Forex Traders,,
France,,
FreedomPop Ltd,,
Fund Organization,,
Futures,,
gains,,
Galaxy,,
game ban,,
gamer controller,,
GameStop,,
gaming console,,
gaming sales,,
Gap Inc.,,
Gartner Inc.,,
Gates Foundation,,
Gates Foundation Immunization,,
GDP,,
GE,,
Germany,,
Getty,,
GitHub Inc.,,
GitLab Inc.,,
glass bussiness,,
Glencore PLC,,
Gmail,,
Goldman,,
Google,,
Government review,,
governors races,,
Grab Inc.,,
growth,,
hackers,,
harassment,,
hardware,,
hardware production,,
Harman International,,
Harvard University,,
hate speech,,
healthcare,,
Hexadite,,
HFC,,
High,,
HMD Global OY,,
HoloLens,,
Hong Kong,,
House,,
HP forecast,,
HTC Ltd.,,
Huawei,,
Hungary,,
hurdles,,
Hybrid Cloud Software,,
Hyperledger Foundation,,
IBM,,
Ignition Partners,,
Illumina,,
Images Inc.,,
Inc sale deal,,
Inc. pursuit,,
income,,
India,,
India Flipkart,,
Indianapolis,,
installments,,
Intel,,
intelligence bots,,
intelligence race,,
interest rate,,
investment,,
investors,,
Investors Appeal,,
investors earnings,,
IOTA Foundation,,
Iowa,,
iPhone,,
IPO underwriters,,
IRS,,
Israel,,
Jack Ma,,
Japan,,
Javier Soltero,,
Jerome Powell,,
job data,,
jobs,,
jobs data,,
John Alfred Paulson,,
JohnsonJohnson,,
Kaspersky,,
Kaspersky Lab,,
Keith Raniere,,
Kenya,,
kids programming tutorials,,
Kinect,,
Korea,,
KPMG Antipiracy,,
Kroger,,
Kyocera,,
L3 Technologies,,
Lawyer,,
layoffs,,
Leadership Sponsorship,,
leave,,
Lenovo,,
Limit Danger,,
LinkedIn Inc,,
LinkedIn Inc.,,
LinkedIn purchase approval,,
LinkedIn revenue,,
Linux OS,,
Liquid Telecommunications,,
liquidation proceeds,,
Lizard Squad,,
loss,,
LOT Network,,
Low,,
lowemissions,,
Ltd investment,,
Lyft Inc.,,
M&A portal,,
Machines Inc.,,
Macintosh,,
Madrid,,
Mail.ru Group,,
Makker,,
malaria,,
malware,,
Mapbox,,
mapping company,,
Mark Zuckerberg,,
market expectations,,
market share,,
Market value,,
marketing products,,
Marketwire LP,,
Marrisa Mayer,,
MAX,,
Media Firms,,
Media.net,,
members,,
memories,,
Michael Dell,,
Micron Technology Inc.,,
Microsoft,,
Minecraft,,
minority stake,,
Miscrosoft Office,,
Mobile Device Launch,,
Mobile Ltd.,,
months,,
Morfit Mason,,
Morgan Stanley,,
multinationals,,
Munich IoT Lab,,
Nasdaq,,
National Privacy Standards,,
Net Insight Ltd,,
Netflix,,
neutrality debate,,
neutrality inputs,,
news snippets fees,,
NFL,,
Nielsen,,
Nikkei Index,,
Nintendo,,
Nokia,,
Nortel,,
NortonLifeLock Inc.,,
NTrig Ltd.,,
Obama,,
Oculus,,
Office mobile apps,,
Office Products Gains,,
Office software,,
Oil prices,,
Oil stock loss,,
OMERS Ltd,,
Online Speech Legislation,,
OPEC,,
Opera,,
operating profit,,
Oracle,,
Orange SA,,
orders lawsuit,,
OSI Group LLC,,
Pacific Northwest,,
Pacific Ocean,,
Pact Terms,,
Panasonic,,
Pandora Media Inc.,,
PAREXEL International,,
Paris,,
Paris Aggreement,,
Password Breach,,
patent appeal,,
patent cancellations,,
patent dispute,,
patent infringement,,
Paul Allen,,
PC,,
PC shipments,,
Peiter C. Zatko,,
peninsula tensions,,
Pentagon,,
Peter Romar,,
Pharmaceutical M&A,,
Philip Hammond,,
phones,,
Pivotal,,
Pixel,,
PlayStation,,
PlayStation_4 versions,,
Pointer Telocation Ltd,,
Pounds sterling,,
price surge,,
prices,,
privacy bill,,
privacy case,,
Privacy law,,
privacy probes,,
Private Equity,,
production blockchain release,,
profit,,
profit estimates,,
profit forecast,,
profit taking,,
progress,,
Publicis Groupe,,
Qatalyst Partners LP,,
Qi Lu,,
Qualcomm,,
Quarterly Dividend,,
Rackspace Technology Inc.,,
ransomware attack damages,,
rating,,
rating system,,
Red Hat,,
Red Hat Inc.,,
Reid Hoffman,,
reorganization,,
reporting,,
Republicans,,
requestUS court,,
Reserve meeting,,
revenue,,
revenue growth,,
review,,
RIB Software SE,,
robocalls industry actions,,
RollsRoyce,,
Russia,,
S&P,,
Saint Gobain S.A.,,
Salesforce Inc,,
Samsung Electronics,,
Samuel Alito,,
San Francisco,,
SAP,,
SAP HANA Vora,,
Satya Nadella,,
Saudi Arabia,,
scanner app,,
schools,,
Seagate Tech,,
search case,,
Seattlebased university,,
Secrets Bill,,
security,,
security clearances,,
Security Experts,,
security features,,
security officer,,
security threats,,
selection advert,,
Senate,,
server design,,
services gains,,
sessions,,
ShakeAlert,,
sharing software,,
Signal Foundation,,
Sika AG,,
Silicon Valley,,
Singapore,,
site closure,,
site restoration aggreement,,
sixtranche bond,,
Skype,,
Skype ban,,
Slack,,
Smiths,,
Snap challenge,,
SnapLogic,,
Snowflake Inc.,,
Software Alliance,,
Solar Power,,
Solitaire,,
Sony,,
Space Exploration Technologies,,
spying campaign,,
StackPath,,
staff numbers,,
Starbucks,,
startup companies,,
Steve Ballmer,,
stock gains,,
stock loss,,
stock price,,
stock prices,,
stocks,,
Stocks Gains,,
Stride software,,
surveillance,,
Svetlana Blackburn,,
Tableau sale,,
tablet sales,,
tablets,,
Takata,,
talks,,
tariff threats,,
Tax,,
Tax Bill,,
Tax bills,,
tax defrauders,,
tax plan,,
Tax Reforms,,
Tay bot,,
TCV Ltd,,
Teams software,,
tech,,
tech bill,,
tech companies,,
Tech Firms,,
tech gains,,
tech partnerships,,
Tech selloff,,
TechCompanies,,
TechFirms,,
Technology stock drops,,
Technology stock gains,,
Technology stock loss,,
Teladoc Health Inc.,,
telcos,,
Tencent Holdings Ltd,,
Tencent Pony Ma,,
Terry Myerson,,
Thailand Ministry,,
Thales,,
Thomas Nielsen,,
Thomas Tull,,
threat bill,,
Thyssenkrupp Germany,,
Tim Blixseth,,
TimeWarner,,
tracking claims,,
translator app,,
Treasury,,
troll defense,,
Trugrid,,
Trump,,
Trump policies,,
Trump stimulus,,
Trumps travel ban,,
Tuberculosis,,Big Tech
tweets,,
Twitter,,
Twitter Premium Version,,
U.S,,
UAE,,
Uber funding,,
UK,,
Ukraine,,
ultraprivate messaging,,
update,,
US,,
US Appeals Court,,
US Army Contract,,
US Federal Court,,
US House,,
US Intelligence Community,,
US Justice Department,,
US National Guard,,
US Senate,,
US Supreme Court,,
US Trade Group,,
US Visa Review,,
user base,,
USICE,,
UW Computer Science School,,
Valeant Pharmaceuticals,,
ValueAct Ltd,,
Velostrata Inc.,,
venture fund,,
Veritas Technologies LLC,,
Verizon,,
video problem,,
videos,,
Vietnam,,
violence advocacy,,
virtualreality software,,
Visual China Group,,
Vodafone,,
voice assistant,,
Volkswagen,,
Volvo,,
Vuzix Corp,,
Wall Street,,
WallStreet Futures,,
Walmart,,
Washington Supreme Court,,
web search,,
Wet Seal Inc.,,
WikiLeaks,,
Wikimedia Foundation,,
wind power supply,,
Windows event,,
Windows features,,
Windows flaws,,
windows phones,,
Windows Settings Change,,
Windows software bugs,,
Windows update,,
Windows upgrade,,
Wipro Ltd,,
workers,,
worm clues,,
Xbox,,
Xiaomi,,
Xilinx Inc.,,
Xing Social Network,,
Yahoo,,
Yandex,,
Yellen,,
Yen strength,,
YouTube video service,,
Zensar Technologies,,
