Q188889, Q182496
Q2283, Q17163979
Q13677, Q100774275
Q2283, Q251212
Q2283, Q95
Q13677, Q100774275
Q37093, Q467752
Q100785000, Q17955
Q2283, Q1636958
Q2283, Q86946741
Q317521, Q11660
Q100772771, Q19900
Q180, Q2961237
Q2283, Q213660
Q2283, Q132020
Q2283, Q30
Q19900, Q483639
Q5500443, Q247792
Q242345, Q100774275
Q11138, Q11692
Q11201, Q5031373
Q95, Q100783195
Q17077936, Q7267084
Q13677, Q7888194
Q3127696, Q7426870
Q2283, Q213660
Q941127, Q213660
Q2283, Q155
Q2283, Q1932945
Q30, Q24964968
Q2283, Q100765019
Q458, Q30
Q2283, Q2334719
Q4206667, Q5227350
Q13677, Q100774275
Q2283, Q15209696
Q183984, Q1134378
Q13677, Q100774275
Q55641880, Q5978114
Q37093, Q731112
Q2283, Q656365
Q13677, Q179179
Q3327412, Q100742823
Q3122864, Q176494
Q312, Q64981993
Q2283, Q703534
Q22032186, Q334204
Q3122864, Q703534
Q148, Q24885109
Q13677, Q3122864
Q13677, Q100718154
Q2283, Q148
Q2283, Q18168774
Q2283, Q28813
Q2283, Q1553390
Q41187, Q5014725
Q705392, Q22032185
Q458, Q2401749
Q19900, Q748250
Q2934671, Q312
Q1414657, Q12204
Q2283, Q873308
Q2283, Q1418
Q2283, Q181201
Q21623039, Q12136
Q2283, Q1323528
Q13677, Q1407190
Q95, Q483639
Q29279, Q1364394
Q37093, Q570871
Q5365696, Q20718
Q668, Q1031943
Q464996, Q100741378
Q20718, Q703534
Q2283, Q100741360
Q941127, Q7673435
Q2283, Q850210
Q183984, Q1134378
Q242345, Q1134378
Q655286, Q219563
Q128831, Q7353270
Q20800404, Q866
Q27096258, Q100783933
Q2283, Q8732640
Q159, Q179550
Q2283, Q2283
Q95, Q326498
Q8646, Q1137062
Q13677, Q6294
Q29468, Q15261477
Q13677, Q17661131
Q13677, Q100774275
Q297279, Q7795
Q334, Q644238
Q242345, Q2304346
Q575782, Q100774275
Q180816, Q100774275
Q7803191, Q40348
Q242345, Q100774275
Q575782, Q100774275
Q30, Q42377967
Q114, Q423208
Q30, Q58983539
Q35476, Q191715
Q2283, Q11660
Q24090301, Q1418
Q2283, Q21490961
Q1411292, Q219635
Q13677, Q100774275
Q2283, Q59608476
Q1418, Q312
Q1418, Q312
Q13677, Q100716577
Q13677, Q100718154
Q24090301, Q1418
Q458, Q850210
Q2283, Q63241568
Q13677, Q27999485
Q1207, Q18619061
Q2283, Q14772
Q16213294, Q484876
Q11991268, Q2283
Q2283, Q3510521
Q2283, Q4830453
Q163820, Q88984215
Q13677, Q88984215
Q7808625, Q1318054
Q33999005, Q80976779
Q1418, Q748250
Q77548432, Q540626
Q30, Q88984215
Q183984, Q1134378
Q2283, Q100774876
Q918, Q81629287
Q668, Q655286
Q2283, Q29957041
Q2283, Q161885
Q2283, Q31207
Q2283, Q95
Q2283, Q326498
Q312, Q2283
Q14772, Q81629287
Q20718, Q155972
Q2283, Q213660
Q941127, Q15209696
Q7692685, Q16
Q23680002, Q20514253
Q213660, Q28666828
Q16980, Q248
Q359, Q37230
Q2283, Q219563
Q211098, Q2283
Q3122864, Q44732631
Q30, Q483639
Q2283, Q28406404
Q2283, Q11463
Q213660, Q189507
Q918, Q100775352
Q3122864, Q1068473
Q66688566, Q16338
Q3122864, Q466439
Q2283, Q100741536
Q11991268, Q380
Q13677, Q80976779
Q1574977, Q148
Q2283, Q1381966
Q380, Q27022329
Q49740, Q613366
Q2283, Q30
Q2283, Q8076
Q2283, Q456157
Q3122864, Q44732631
Q458, Q100742003
Q13677, Q19571328
Q575782, Q19571328
Q22686, Q71864894
Q2283, Q483639
Q30, Q71864894
Q3122864, Q850210
Q13677, Q100774275
Q2283, Q1068473
Q380, Q100783195
Q17, Q4830453
Q456157, Q4485156
Q2283, Q57562431
Q13677, Q100711800
Q2283, Q3510521
Q48, Q29957041
Q3960, Q29957041
Q242345, Q5440399
Q668, Q29957041
Q34966237, Q29957041
Q13677, Q100774275
Q312, Q1418
Q677085, Q100701786
Q13677, Q100716577
Q1418, Q33
Q100741460, Q42377967
Q30, Q71864894
Q186012, Q312
Q2283, Q100722465
Q25224, Q145
Q13677, Q100774275
Q33999005, Q2304346
Q13677, Q100774275
Q13677, Q100774275
Q13677, Q100716577
Q30, Q100774275
Q242345, Q100774275
Q4951483, Q725967
Q499707, Q29957041
Q13677, Q100774275
Q30, Q159
Q2283, Q74675685
Q48, Q100742135
Q13677, Q100742135
Q13677, Q80976779
Q475000, Q100774275
Q456157, Q15825471
Q312, Q148
Q13677, Q1134378
Q456157, Q93288
Q242345, Q100774275
Q2283, Q483639
Q148, Q11660
Q2283, Q11660
Q1560114, Q59561164
Q540891, Q2283
Q29468, Q59561164
Q212, Q29957041
Q180816, Q312
Q242345, Q100774275
Q681849, Q9200127
Q16732847, Q2283
Q489943, Q2283
Q5164748, Q1630279
Q2283, Q489943
Q456158, Q725967
Q2283, Q16953455
Q5284, Q2283
Q600180, Q98
Q941127, Q15209696
Q312, Q671224
Q460173, Q10346136
Q13677, Q100742135
Q28022144, Q15897235
Q22686, Q5251504
Q20718, Q1585599
Q66048, Q100774508
Q7943726, Q29159
Q757307, Q42588510
Q3122864, Q5251504
Q2283, Q129238
Q7808625, Q4485156
Q458, Q3510521
Q2283, Q370563
Q380, Q100741536
Q458, Q70508136
Q37156, Q2283
Q918, Q100783321
Q30938280, Q2283
Q851, Q621608
Q13677, Q100742135
Q338825, Q2283
Q28782856, Q725967
Q2283, Q489097
Q13677, Q100774275
Q7808625, Q19900
Q13677, Q100716577
Q95, Q159
Q1364176, Q725967
Q13677, Q100774275
Q11201, Q2283
Q95, Q3510521
Q22977834, Q265158
Q95, Q16848759
Q13677, Q7689423
Q144060, Q2283
Q2283, Q100742034
Q54173, Q2283
Q13677, Q100774275
Q242345, Q100774275
Q319642, Q725967
Q30644014, Q725967
Q2283, Q923062
Q2283, Q157675
Q871325, Q19903406
Q668, Q725967
Q153417, Q725967
Q13677, Q100774275
Q2283, Q11660
Q41187, Q15129721
Q5284, Q11081
Q456157, Q3075818
Q11201, Q59635668
Q851, Q1039245
Q40984, Q148
Q860580, Q1901350
Q3047087, Q2283
Q2283, Q725967
Q2283, Q181201
Q456157, Q11660
Q2283, Q7689423
Q30504331, Q2283
Q458, Q2283
Q2283, Q544847
Q3122864, Q3510521
Q30640822, Q5205777
Q2283, Q16822168
Q2283, Q208218
Q2283, Q169207
Q55074807, Q2283
Q13677, Q100774275
Q30, Q2283
Q1537378, Q2283
Q2283, Q483639
Q15238661, Q2283
Q456157, Q2283
Q677085, Q2283
Q10599821, Q725967
Q1720400, Q2283
Q11201, Q2283
Q20715093, Q725967
Q2283, Q383295
Q5107236, Q27907217
Q2283, Q181201
Q25230554, Q2283
Q8069225, Q2283
Q2283, Q3240539
Q502121, Q2283
Q502121, Q2283
Q2283, Q1483757
Q1781428, Q2283
Q2283, Q11660
Q16193458, Q2283
Q2283, Q1376796
Q30, Q2283
Q2283, Q77574345
Q2283, Q100774984
Q1553390, Q2283
Q2283, Q493751
Q2283, Q388
Q6384925, Q2283
Q1325291, Q2283
Q155, Q21043347
Q2283, Q11255
Q5275736, Q2283
Q181162, Q11692
Q878, Q621608
Q2283, Q11660
Q100780075, Q725967
Q2283, Q55637983
Q7267590, Q14772
Q2283, Q90832980
Q7208364, Q2283
Q11991268, Q2283
Q2283, Q483639
Q17068357, Q2283
Q2283, Q364
Q55589254, Q364
Q1161666, Q2283
Q2283, Q27968830
Q145, Q2283
Q2283, Q97854288
Q2283, Q668
Q2283, Q161959
Q2283, Q5082128
Q1763845, Q2283
Q242345, Q100774275
Q6030911, Q42770140
Q2283, Q22078063
Q2283, Q155972
Q483551, Q2283
Q2283, Q37595001
Q2283, Q57380148
Q13677, Q50335907
Q456157, Q5465
Q2283, Q943091
Q2283, Q828814
Q37158, Q2283
Q242345, Q100774275
Q801, Q2283
Q2283, Q2798820
Q2283, Q28
Q132020, Q12055605
Q2283, Q1172506
Q458, Q2283
Q2283, Q100801055
Q242345, Q100718154
Q11991268, Q2283
Q552581, Q2283
Q246, Q2283
Q162005, Q12078
Q2283, Q28444691
Q2283, Q2249548
Q2283, Q483639
Q162005, Q12078
Q2283, Q850210
Q13677, Q2283
Q37156, Q485593
Q1046482, Q725967
Q18359118, Q2283
Q2283, Q30
Q420822, Q725967
Q801, Q2283
Q2283, Q59608476
Q2283, Q312
Q11201, Q2283
Q2283, Q43627
Q2283, Q92296582
Q2283, Q100741418
Q2283, Q783794
